team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
ATL,-0.960488752312158,-0.1992482855276384,43.5,43.5,38.54755758164322,40.49079694209121
BKN,-4.9145032097973855,-7.351302692806356,21.5,21.5,28.741770596352435,23.1957878781789
BOS,-0.8574095846110521,2.589461787297569,52.5,52.5,38.81033538963524,47.57308435552043
CHA,-0.9489345828222495,-0.14102355788157814,42.5,42.5,38.57700482427672,40.63959000222021
CHI,-0.4139321334780697,-0.8495715321850167,39.0,39.0,39.942288076826834,38.830322805621904
CLE,4.194860050244663,4.555881221980136,56.5,56.5,51.532048114930795,52.40233283706807
DAL,-2.6089385563019505,-2.0299557015479506,39.5,39.5,34.378154163318065,35.83365888305279
DEN,-1.5922519152045336,-1.198048780205254,37.0,37.0,36.941114172093755,37.94258273467297
DET,2.745950209492641,2.135110715606249,44.5,44.5,47.96443083530337,46.43155406659335
GSW,11.943962249542347,10.579435988467887,66.5,66.5,67.618964838488,65.2510873746997
HOU,2.8358015278341657,1.396728917615198,44.0,44.0,48.18867147690781,44.56258221871173
IND,-0.23784527680453352,0.3957519451366516,44.5,44.5,40.39216810034775,42.01127161775215
LAC,2.985889947779278,3.2026297569402047,53.5,53.5,48.562462576262895,49.10043269018299
LAL,-6.1659857188286,-6.57397471716581,24.5,24.5,25.83026843742594,24.90903468918594
MEM,0.45188935113527,-0.09175251626226183,42.5,42.5,42.15466459269557,40.76550790174966
MIA,0.09988349246362638,-1.479785220534463,34.5,34.5,41.255272046560314,37.22648495548863
MIL,-0.9938644228029722,-1.629077324440372,34.5,34.5,38.462506807315386,36.84774079290399
MIN,-2.9933748749359084,-0.4380949027492726,41.5,41.5,33.41892274398437,39.8805689100396
NOP,-2.172774321071955,-1.7573677498332405,36.5,36.5,35.473541453162326,36.52272340717461
NYK,-1.5518114592113381,-1.4566886520311904,38.5,38.5,37.04369222948375,37.28512634375363
OKC,0.7622464015195312,1.4446134179419698,45.0,45.0,42.946940615054615,44.68421024866132
ORL,-1.3562625674306323,-1.1748273957382875,37.5,37.5,37.54024227716872,38.00167578013646
PHI,-5.532417754606144,-5.924510856938397,23.5,23.5,27.288838427151706,26.382276596280974
PHX,-3.887672171844403,-4.194155070697806,29.5,29.5,31.214852913515546,30.469659430216
POR,0.4323122389709877,1.5440488116169708,45.5,45.5,42.104660737449066,44.9366131267348
SAC,-0.9403223784720788,-2.829045623307414,33.5,33.5,38.59895538486554,33.82817715221766
SAS,4.605476114610425,5.102594102423378,57.5,57.5,52.5212216830762,53.70350712853514
TOR,4.115559592791922,3.950969421853138,50.5,50.5,51.339780723809476,50.939508735878256
UTA,3.8870468612744946,2.8253725311166473,47.5,47.5,50.78362099196743,48.162661655184074
WAS,-0.9320883571233912,0.07412373147033705,42.5,42.5,38.61994305724682,41.18943873949284
