team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
ATL,1.6134116391802025,2.0765027616737415,47.5,47.5,45.112541909248165,46.28378180269719
BKN,4.723957568640138,4.701976232058715,56.5,56.5,52.80457197459443,52.75207563870762
BOS,3.105708782462118,2.267036173176315,45.5,45.5,48.86013753740677,46.76376940566286
CHA,-4.169612721686313,-1.9186258400773255,38.5,38.5,30.5291231250487,36.1148219387761
CHI,-1.5555248707308733,-0.02644354618330032,42.5,42.5,37.0342714300636,40.93241764287508
CLE,-2.1890905042522624,-3.9644885292698255,26.5,26.5,35.43244271814039,31.027552902689887
DAL,2.4729591348451705,2.6385623595461505,48.5,48.5,47.281101941623405,47.695982117157534
DEN,2.124997147921542,2.17545212380749,47.5,47.5,46.40606200345668,46.53320425970748
DET,-5.478492779524333,-5.686777192655712,24.5,24.5,27.41447957068185,26.930462289432874
GSW,-0.11900334516100726,1.4689965527917384,48.5,48.5,40.69586467803448,44.746124501286964
HOU,-5.624322670946947,-5.06062282063141,27.5,27.5,27.075234589334414,28.395631188901355
IND,-1.5215311207948041,-0.3916363087052535,42.5,42.5,37.120524721463966,39.999241838819906
LAC,0.8515728631697675,0.9025274418392126,45.5,45.5,43.17478076353241,43.304701175015616
LAL,0.23971928540950638,1.8901929202471601,52.5,52.5,41.6126205150844,45.81331122384931
MEM,0.6485150194149812,0.9235418888742668,41.5,41.5,42.656716569464294,43.35827183569116
MIA,1.3222267286966944,1.8280126790276066,48.5,48.5,44.3732463622631,45.65606322236771
MIL,5.467354626651582,4.892871880045713,54.5,54.5,54.55954105442394,53.20685730865543
MIN,0.8551533744123654,-0.505003678643896,35.5,35.5,43.183911248013516,39.709684739965944
NOP,0.3935748070413572,-0.08853774872650652,39.5,39.5,42.00571009794993,40.773723756473885
NYK,0.48853773631647823,0.17781394087981506,41.5,41.5,42.24826454021797,41.45442873739552
OKC,-9.034262371688843,-6.803629324704878,23.5,23.5,19.69276883558001,24.39701329934533
ORL,-4.399756129327137,-5.8125135716697605,22.5,22.5,29.97299403150873,26.639953590292702
PHI,3.847329301622744,3.618266564667377,50.5,50.5,50.686642511736935,50.125599968338214
PHX,1.6868027204307623,3.019725527688762,51.5,51.5,45.29855687386919,48.64658985888555
POR,1.6654040152851897,1.0661922924056213,44.5,44.5,45.244334562654274,43.72174548269042
SAC,-0.8259588049544528,-1.3749415051682752,36.5,36.5,38.89054129154828,37.49277498480688
SAS,-1.4705673194221922,-3.413271252914434,28.5,28.5,37.249887431302696,32.3789117764163
TOR,0.751136595058044,-0.9020644831790318,35.5,35.5,42.918596588243474,38.69647908347616
UTA,4.350203397280975,3.6809159785837937,52.5,52.5,51.90754850230258,50.27933660919003
WAS,-0.2204421053504522,-1.8969973382773604,33.5,33.5,40.436638673150284,36.16948782042895
