team,abbr,name,status,date,type,detail,side,return_date,comment
Toronto Raptors,TOR,Nate Bittle,Day-To-Day,2026-09-10T01:30Z,day-to-day,,Right,2026-10-01,"Bittle (lower leg) was spotted in a walking boot Wednesday, Esfandiar Baraheni of The Athletic reports."
Toronto Raptors,TOR,Alijah Martin,Day-To-Day,2026-07-19T22:30Z,day-to-day,Inflammation,Not Specified,2026-10-01,"Martin (knee) won't play in Sunday's Summer League game against the Nuggets, Zulfi Sheikh of Sportsnet reports."
Toronto Raptors,TOR,Chucky Hepburn,Day-To-Day,2026-07-19T22:26Z,day-to-day,,,2026-10-01,"Hepburn (knee) won't play in Sunday's Summer League game against the Nuggets, Zulfi Sheikh of Sportsnet reports."
Toronto Raptors,TOR,Collin Murray-Boyles,Day-To-Day,2026-07-19T22:24Z,day-to-day,Sprain,,2026-10-01,"Murray-Boyles (finger) won't play in Sunday's Summer League game against the Nuggets, Zulfi Sheikh of sportsnet reports."
Utah Jazz,UTAH,Jaren Jackson Jr.,Day-To-Day,2026-09-10T00:41Z,day-to-day,Surgery,Left,2026-10-01,"With Walker Kessler now in Los Angeles, Jackson (knee) figures to be an even more essential piece for the Jazz in 2026-27, per ESPN's Tim MacMahon."
Utah Jazz,UTAH,Trey Alexander,Day-To-Day,2026-07-17T19:29Z,day-to-day,Bruise,Left,2026-10-01,"Alexander (rib) is out for Friday's Summer League game against Portland, per Ben Anderson of KSL News Salt Lake City."
Washington Wizards,WSH,Anthony Davis,Day-To-Day,2026-09-24T17:25Z,day-to-day,Sprain,Left,2026-10-01,"General manager Will Dawkins said during Thursday's press conference that Davis (finger) is ""very much a motivated player"" and that he expects the veteran big man to bounce back in 2026-27."
Washington Wizards,WSH,Alex Sarr,Day-To-Day,2026-09-24T15:17Z,day-to-day,Surgery,Right,2026-10-01,"Sarr will be a partial participant when training camp begins as he continues his recovery from surgery to repair a fractured right foot,Josh Robbins of The Athletic reports."
Washington Wizards,WSH,Trae Young,Day-To-Day,2026-09-21T18:19Z,day-to-day,Bruise,Right,2026-10-01,"Young (quadriceps) has been doing sand-dune workouts during the offseason, and his trainer discussed the guard's outlook and leadership criticism Monday, Mark Medina of RG reports."
Washington Wizards,WSH,Jamir Watkins,Out,2026-07-30T20:11Z,out,,Left,2027-04-01,The Wizards announced Thursday that Watkins has undergone surgery for a torn ACL.
