game,date_et,home_id,htm,away_id,vtm,home_pts,away_pts,status,periods
22501187,2026-04-12,1610612739,CLE,1610612764,WAS,130,117,3,4
22501188,2026-04-12,1610612754,IND,1610612765,DET,121,133,3,4
22501189,2026-04-12,1610612748,MIA,1610612737,ATL,143,117,3,4
22501190,2026-04-12,1610612752,NYK,1610612766,CHA,96,110,3,4
22501191,2026-04-12,1610612755,PHI,1610612749,MIL,126,106,3,4
22501192,2026-04-12,1610612761,TOR,1610612751,BKN,136,101,3,4
22501193,2026-04-12,1610612742,DAL,1610612741,CHI,149,128,3,4
22501194,2026-04-12,1610612745,HOU,1610612763,MEM,132,101,3,4
22501195,2026-04-12,1610612750,MIN,1610612740,NOP,132,126,3,4
22501196,2026-04-12,1610612760,OKC,1610612756,PHX,103,135,3,4
22501197,2026-04-12,1610612759,SAS,1610612743,DEN,118,128,3,4
22501198,2026-04-12,1610612747,LAL,1610612762,UTA,131,107,3,4
22501199,2026-04-12,1610612746,LAC,1610612744,GSW,115,110,3,4
22501200,2026-04-12,1610612757,POR,1610612758,SAC,122,110,3,4
22501201,2025-12-09,1610612753,ORL,1610612748,MIA,117,108,3,4
22501202,2025-12-09,1610612761,TOR,1610612752,NYK,101,117,3,4
22501203,2025-12-10,1610612760,OKC,1610612756,PHX,138,89,3,4
22501204,2025-12-10,1610612747,LAL,1610612759,SAS,119,132,3,4
22501205,2025-12-11,1610612745,HOU,1610612746,LAC,115,113,3,4
22501206,2025-12-11,1610612749,MIL,1610612738,BOS,116,101,3,4
22501207,2025-12-11,1610612740,NOP,1610612757,POR,143,120,3,4
22501208,2025-12-11,1610612758,SAC,1610612743,DEN,105,136,3,4
22501209,2025-12-12,1610612766,CHA,1610612741,CHI,126,129,3,4
22501210,2025-12-12,1610612765,DET,1610612737,ATL,142,115,3,4
22501211,2025-12-12,1610612755,PHI,1610612754,IND,115,105,3,4
22501212,2025-12-12,1610612764,WAS,1610612739,CLE,126,130,3,4
22501213,2025-12-12,1610612763,MEM,1610612762,UTA,126,130,3,4
22501214,2025-12-12,1610612742,DAL,1610612751,BKN,119,111,3,4
22501215,2025-12-12,1610612744,GSW,1610612750,MIN,120,127,3,4
22501216,2025-12-14,1610612754,IND,1610612764,WAS,89,108,3,4
22501217,2025-12-14,1610612737,ATL,1610612755,PHI,120,117,3,4
22501218,2025-12-14,1610612739,CLE,1610612766,CHA,111,119,3,5
22501219,2025-12-14,1610612751,BKN,1610612749,MIL,127,82,3,4
22501220,2025-12-14,1610612750,MIN,1610612758,SAC,117,103,3,4
22501221,2025-12-14,1610612757,POR,1610612744,GSW,136,131,3,4
22501222,2025-12-15,1610612738,BOS,1610612765,DET,105,112,3,4
22501223,2025-12-14,1610612741,CHI,1610612740,NOP,104,114,3,4
22501224,2025-12-15,1610612762,UTA,1610612742,DAL,140,133,3,5
22501225,2025-12-15,1610612743,DEN,1610612745,HOU,128,125,3,5
22501226,2025-12-15,1610612746,LAC,1610612763,MEM,103,121,3,4
22501227,2025-12-15,1610612748,MIA,1610612761,TOR,96,106,3,4
22501228,2025-12-14,1610612756,PHX,1610612747,LAL,114,116,3,4
22501229,2025-12-13,1610612753,ORL,1610612752,NYK,120,132,3,4
22501230,2025-12-13,1610612760,OKC,1610612759,SAS,109,111,3,4
