team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
ATL,3.2901273627613135,2.9566313381364453,46.5,46.5,49.31697430751952,48.48967341162624
BKN,-7.828130017322586,-7.823383118289948,19.5,19.5,22.173641851494878,22.183705501631735
BOS,5.125544877727053,1.6749679101910908,41.5,41.5,53.757663323457095,45.26857004176157
CHA,-7.350154584116324,-5.620058445480564,27.5,27.5,23.198276067432825,27.08513061281186
CHI,-1.926490800268198,-2.442904308104179,33.5,33.5,36.094946733230344,34.79430668029073
CLE,5.419150802570588,5.7243155882385395,56.5,56.5,54.44699608362723,55.15640268395667
DAL,1.1551953950087706,0.4659547746647613,41.5,41.5,43.94835764055892,42.19058883417036
DEN,3.9391049674897567,4.149199883149926,53.5,53.5,50.91059297129303,51.421390268087805
DET,0.7673622334969729,1.7280469236169183,46.5,46.5,42.95999195133787,45.40303198836132
GSW,4.887316529618385,2.502839960383218,47.5,47.5,53.19365858290217,47.35604008498487
HOU,6.280520945681587,5.009584228622727,52.5,52.5,56.4298206616435,53.48363984840281
IND,-2.006368308786509,-1.6603592600359123,37.5,37.5,35.89319707733794,36.76845009754648
LAC,2.5025540050587374,1.630867275857009,49.5,49.5,47.35532309887173,45.15679688805932
LAL,-0.9042851118766206,0.7286028454824341,46.5,46.5,38.69081787998524,42.86110267838292
MEM,2.328481789923818,0.6930883113547344,39.5,39.5,46.91829732109613,42.77047721824919
MIA,-0.09984705602731443,-1.0125945425172673,37.5,37.5,40.74482107207971,38.41478459952659
MIL,-1.8038491171484252,-0.499602363092916,43.5,43.5,36.405073805092655,39.72347838658567
MIN,1.028949717270976,2.230280192848822,49.5,49.5,43.62688200527609,46.67126973813567
NOP,-2.722598249353234,-3.2937428463087834,30.5,30.5,34.093904069015174,32.67408610230079
NYK,2.262262802849177,3.3729281806042994,53.5,53.5,46.75175943970632,49.52154225064313
OKC,8.415449462022567,9.108279887897414,62.5,62.5,61.053628159193046,62.45439017338485
ORL,1.9633675190286561,3.6870963768240532,51.5,51.5,45.99821821827576,50.294491148133346
PHI,-1.9156006785151158,-0.15085079646035007,43.5,43.5,36.12246718345129,40.61447592585643
PHX,-2.6188083973606187,-3.6308408099844933,30.5,30.5,34.353450077717596,31.843526659348704
POR,-2.8772886725451197,-2.1582162915308896,35.5,35.5,33.70790661106781,35.51021909552063
SAC,0.008622840334750616,-2.9280383216623513,32.5,32.5,41.02203759818534,33.581497042883754
SAS,0.24802538457288262,1.2730223613698695,44.5,44.5,41.63384475901927,44.2481381976036
TOR,-2.362422505542321,-0.8224932843867707,39.5,39.5,34.99640370375137,38.8993798623549
UTA,-4.399912456208742,-6.882377200547848,18.5,18.5,29.972617422637587,24.22255565392157
WAS,-10.806280680344864,-8.420070509720569,20.5,20.5,16.33993203712979,20.936858325476695
