team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
ATL,-4.042314770284344,-5.4256675341436065,25.5,25.5,30.83814524571326,27.537778302721378
BKN,-4.234618948171463,-4.798931476249663,27.5,27.5,30.37170108037878,29.016624606422447
BOS,-0.3365289965699093,3.2900843273971603,53.5,53.5,40.140023847470594,49.31686789501585
CHA,1.4788313997927067,0.9233314602505639,42.5,42.5,44.77109356749242,43.35773543592399
CHI,-5.0372422069329055,-6.366755955582782,22.0,22.0,28.45091322858436,25.375106028861246
CLE,0.9646732318198551,2.4254339142918377,53.5,53.5,43.4631065957836,47.16184392468172
DAL,-2.4478216339624086,-2.5300677945939984,35.5,35.5,34.781966612726926,34.575704979291075
DEN,1.6844841198147744,1.7244951775377648,45.5,45.5,45.29268233176562,45.39403688281047
DET,-0.16835840582123332,-0.5913810085053204,38.5,38.5,40.56973479048256,39.489130906858904
GSW,7.392794995102765,9.225558429846961,67.5,67.5,58.89404840823616,62.68632098258461
HOU,7.163465135222682,5.5398739719833,55.5,55.5,58.39543418761039,54.728516053252534
IND,-3.9045899143118925,-3.7043693645436857,31.5,31.5,31.173573116166438,31.66316610686598
LAC,4.05513740477628,1.8708474392903303,43.5,43.5,51.193026823057465,45.76440022984711
LAL,-2.6244912059063235,-2.5101470964356194,33.5,33.5,34.339227847751076,34.6256395324064
MEM,0.023759984010006927,-1.0991079894120621,37.5,37.5,41.06072392611726,38.194431481060725
MIA,-0.5757789130025155,0.3909722562385472,43.5,43.5,39.52896413293514,41.999061819220294
MIL,0.040162974956084015,1.8569732215296542,47.5,47.5,41.10264530992678,45.72931551800682
MIN,3.846456096171681,3.064798368922469,48.5,48.5,50.6845093837549,48.75857540612782
NOP,1.271516706241063,-0.5885587751012337,39.5,39.5,44.24430912030688,39.496336098960775
NYK,-5.99575345447855,-4.884685125435757,30.5,30.5,26.218906635983565,28.812594024295283
OKC,4.4149782151949015,4.556829893222177,53.5,53.5,52.063670243072536,52.40460853533841
ORL,-3.4869836264897653,-2.9404999269595278,33.5,33.5,32.19724416489687,33.55047455337364
PHI,-2.214378090170447,-0.8241023769513856,39.5,39.5,35.36876369630515,38.89527596376411
PHX,-2.5914829594619095,-3.498792280716691,28.5,28.5,34.4218547957617,32.16816750101015
POR,3.162562086380608,1.8124848335183665,42.5,42.5,49.001147745230405,45.61677758566972
SAC,-7.6092105619672115,-6.317679004631682,27.5,27.5,22.640121518018336,25.4860440320288
SAS,3.569154305659654,4.137352150791322,55.0,55.0,50.00493341879983,51.392656205259556
TOR,2.562408138312417,2.7421447952607085,48.5,48.5,47.50532872932295,47.95492618414628
UTA,1.4194846440096307,0.22634213439802756,40.5,40.5,44.62038872406588,41.57843787619984
WAS,2.2196842500657628,2.468312401278592,48.5,48.5,46.64459548441955,47.26944534799381
