team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
ATL,0.8532345961128084,0.5858683473378352,42.5,42.5,43.179018287626846,42.496795142133664
BKN,-0.2834294063080138,-1.220929680068207,37.5,37.5,40.275691858196666,37.884365956418556
BOS,6.955092097356487,5.310753557122965,54.5,54.5,57.938025043907565,54.193259186593664
CHA,-4.841479316154198,-3.8860499126578127,31.5,31.5,28.915327430263606,31.21881214632968
CHI,-1.2634716271342155,-1.9855292016036565,37.5,37.5,37.77615132172174,35.945812494680446
CLE,4.38470076540916,3.9011621231664217,50.5,50.5,51.99072851909023,50.81806431303382
DAL,0.11987931647448098,0.7432948568017792,45.5,45.5,41.30637396539393,42.89858938918592
DEN,0.9186364807013622,2.7415226963603425,52.5,52.5,43.34576738401727,47.953372331704145
DET,-7.7056773265165,-5.61533222199694,28.5,28.5,22.433974761346004,27.09610049026077
GSW,1.413750622716517,1.3998661076747947,48.5,48.5,44.60582362297016,44.570552311603535
HOU,-2.4198335221590193,-3.0753802152529,31.5,31.5,34.852215049412855,33.21514714133456
IND,-0.9703362010633679,-0.8247392613064962,38.5,38.5,38.522461703202964,38.89365163579995
LAC,2.8270756564104915,1.2095279375996963,46.5,46.5,48.16690955401609,44.08662536855559
LAL,-1.0954291586510339,0.8743127972160066,47.5,47.5,38.20379907427208,43.23276582675359
MEM,3.850949913195223,2.533494606986776,45.5,45.5,50.69548673077793,47.43288335261061
MIA,0.5145282912553623,0.7607611825935047,45.5,45.5,42.3146382437592,42.943151516846065
MIL,3.3351789549213886,3.6931394458041233,54.5,54.5,49.42832163596185,50.309306913356615
MIN,2.324374094866822,1.5430253091941513,44.5,44.5,46.90797115915917,44.934016287042155
NOP,0.1714766176074926,0.8677898869802887,44.5,44.5,41.438233796001576,43.21613362464394
NYK,3.4927885144327995,2.299586467125711,45.5,45.5,49.81705023089966,46.84564584798247
OKC,-1.2059695014625067,1.0116803681310518,44.5,44.5,37.92242861862549,43.58288631585394
ORL,-1.3425257312914962,-0.8531651406460983,37.5,37.5,37.57515529110439,38.82115882747186
PHI,-1.0667009739543696,0.6076080600285985,48.5,48.5,38.27695897205309,42.5522954944562
PHX,2.1052679730049086,2.7672180392779913,51.5,51.5,46.35632341613704,48.017539572797936
POR,-3.7217272616638475,-4.257789842315007,28.5,28.5,31.620631871613035,30.3156530847646
SAC,-0.0024838464517950003,0.7684344233135193,44.5,44.5,40.99365197409086,42.96272724590823
SAS,-3.9416638344344057,-4.017136056825203,28.5,28.5,31.083169920850814,30.899383850743877
TOR,2.4632566640732496,-0.4139534431295214,36.5,36.5,47.25676181873291,39.94223364371085
UTA,-2.9231590495917574,-2.3490250452517767,35.5,35.5,33.5936456095812,35.030068919388654
WAS,-2.9463038017020233,-5.360149957071755,24.5,24.5,33.536028488718955,27.69100176803416
