team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
ATL,3.041511164405384,2.4749123214520736,46.5,46.5,48.70072897703369,47.28600137660249
BKN,0.7518340784565113,1.908569470291373,50.5,50.5,42.920376093813594,45.85976237214381
BOS,5.8201333144097065,5.189542950601034,54.5,54.5,55.377610181103776,53.90847171385858
CHA,-1.0974973035886015,-1.9424329553370627,34.5,34.5,38.19853282359764,36.05466563913997
CHI,0.23835503701649216,-0.16603925022885246,41.5,41.5,41.609134480673745,40.57566140640365
CLE,1.5280229136951473,1.9475668623604676,46.5,46.5,44.895949208217296,45.95830460256542
DAL,0.9351205221347013,1.5562482943909233,48.5,48.5,43.387785733899,44.967563832662286
DEN,0.5356183211554374,2.533595796735645,51.5,51.5,42.36849320158918,47.43313694905947
DET,-6.004252488218834,-4.808871209761031,29.5,29.5,26.19944539942865,28.99294891393147
GSW,0.4376029051702918,2.628944079209774,52.5,52.5,42.11817441538997,47.671915347999025
HOU,-7.276663554085056,-6.338399069306757,23.5,23.5,23.357812418694728,25.439180810842107
IND,-1.7840892503964714,-4.664241679820881,24.5,24.5,36.45508099758756,29.33812006126219
LAC,0.7998939291772179,2.2783438540165606,52.5,52.5,43.04297830153397,46.792216756273504
LAL,-0.060834083969786075,0.1513153464062662,44.5,44.5,40.84452545786956,41.38671125288055
MEM,2.9695692388391794,3.669451651079088,49.5,49.5,48.52186490458862,50.25122013285551
MIA,1.4397581010602432,2.197869507962104,49.5,49.5,44.67187991280671,46.589666958369854
MIL,2.4696906096858764,3.176158197572983,53.5,53.5,47.27290274682515,49.03484663454715
MIN,3.3436214544288045,3.3794630575949536,49.5,49.5,49.44917639092216,49.53767260715946
NOP,3.1310809217520283,2.1590946221530616,45.5,45.5,48.92308563949156,46.49199397911987
NYK,1.491500041729154,0.03536695564949895,38.5,38.5,44.80325390662321,41.09038806177826
OKC,-5.534613220673479,-5.686046439575594,23.5,23.5,27.28372798614594,26.932154399721874
ORL,-4.441471758659189,-4.66056579262508,26.5,26.5,29.872552669873755,29.34691161026907
PHI,3.617345927078139,3.108191358536855,50.5,50.5,50.12333920226482,48.866298131773306
PHX,1.6664421467063533,3.0509124442651316,52.5,52.5,45.24696536371858,48.72408518597655
POR,-2.7196640086889254,-1.1640035375782471,39.5,39.5,34.10123562182093,38.02922336648943
SAC,0.14867678339719373,-1.551678364748347,34.5,34.5,41.37996827712239,37.04402989179003
SAS,-5.305348038093119,-6.225489084294645,22.5,22.5,27.819417587455767,25.695005657324103
TOR,3.4752460681497963,2.545065818398303,46.5,46.5,49.77384698921499,47.4618799411208
UTA,-2.229233054029595,-5.418009147153647,23.5,23.5,35.33136616080963,27.555671604383367
WAS,-1.3873567180446025,-2.089161756805614,35.5,35.5,37.461229305898144,35.684290801696925
