team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
ATL,-4.94409901551268,-6.063357772221972,23.5,23.5,28.671537731223964,26.064273076474514
BKN,-2.592320876291183,-3.1156897309105123,32.0,32.0,34.41975676843057,33.11509617248891
BOS,2.3279204869539654,5.594884356439724,59.0,59.0,46.9168863206894,54.85641819991899
CHA,-0.8195481093577379,-1.849163359974301,35.5,35.5,38.906891448705814,36.29043625874847
CHI,-3.0607345689086554,-3.4291078191326143,30.0,30.0,33.25151744039217,32.33985807521641
CLE,-3.7453020068708964,-4.587962641259856,30.5,30.5,31.562890577832405,29.520742767490496
DAL,-2.4926894756705824,-2.6603537586802517,35.5,35.5,34.66941250698376,34.24950546207217
DEN,4.023817761338216,3.3197323535269754,47.5,47.5,51.11687080419232,49.39015599928422
DET,-0.8477284619130968,-1.107190334454775,38.5,38.5,38.835022842958054,38.173851809217545
GSW,6.986220596242367,7.5617975605708585,62.5,62.5,58.00661691756112,59.258218483114135
HOU,5.19811874211387,5.081908488194323,56.5,56.5,53.92865702102898,53.65466277702046
IND,-1.1029233739186934,1.0061900401336892,47.5,47.5,38.18471641834881,43.56889807558077
LAC,-2.452081212557106,-2.469659739592453,37.0,37.0,34.77127789974972,34.72717469366988
LAL,1.8131385698697897,2.5019450003954997,48.5,48.5,45.61843168301952,47.35379610904724
MEM,-1.6316008807006803,-2.418958201745781,34.5,34.5,36.841343383848475,34.854412519806424
MIA,1.005568606292604,0.416125913228203,43.0,43.0,43.56731475864793,42.06331567223381
MIL,2.447252525202714,2.4827625939989653,48.0,48.0,47.216605250760296,47.30569178906585
MIN,4.205746482040883,1.2398624696024938,41.5,41.5,51.55841244488632,44.16379799230213
NOP,0.9229064323272489,1.2873853508277908,45.5,45.5,43.35665200305591,44.284662893069665
NYK,-7.692338512926787,-5.647733723951613,28.5,28.5,22.46242400330791,27.0209301937618
OKC,2.848474790440948,2.824332995808407,48.5,48.5,48.22027215684494,48.160068807039785
ORL,-2.054150198206776,-3.0765762893757875,31.0,31.0,35.772606341842476,33.212177308901055
PHI,2.3289095320303717,3.8776819196515726,53.5,53.5,46.919372569361414,50.7607627847078
PHX,-6.341754304803459,-5.286498430215587,29.0,29.0,25.431595699455254,27.86364016796113
POR,0.6228335637363623,0.49714887952097647,42.0,42.0,42.59116275641979,42.270255937736984
SAC,-5.641942391555364,-5.538324646151373,26.0,26.0,27.034359725061325,27.275089670646494
SAS,-0.584980510073177,-0.5279401938226376,43.5,43.5,39.50547155287173,39.65111304471851
TOR,5.500551178590305,5.377879743847174,55.5,55.5,54.636942353029205,54.35049479570676
UTA,5.041945106902567,3.7635725667970443,49.5,49.5,53.56020969136471,50.48183786109803
WAS,0.7307895251846562,1.064981054781281,45.5,45.5,42.866682154517086,43.71866060189951
